詞語,讀音,備註
硬殼蟲,,
麥蝴蝶,,
遊火蟲,,
拆屁蟲,,
鯉魚,,
回魚,,
青魚,,
鰱魚,,
白鰱,,
花鰱,,
鯽魚,,
鱖魚,,
鯿魚,,
鮎魚,,
鰣魚,,
白魚,,
黑魚,,
穿鰷魚,,
盎絲魚,,
塘鯉魚,,
銀魚,,
鯗魚,,
鹹鯗魚,,
黃魚,,
華魚,,
裙帶魚,,
烏賊魚,,
鰻鱺,,
金鯽魚,,
魚鱗爿,,
魚骨頭,,
魚泡泡,,
魚革鰓,,
甩水,,
魚子,,
蝦子,,
蝦仁,,
蝦米,,
開洋,,
蝦皮,,
黃鱔,,
甲魚,,
大閘蟹,,
梭子蟹,,
蟹黃,,
九雌十雄,,
蛤蜊,,
螺螄,,
田螺,,
田雞,,
蛤蟆,,
癩團,,
泥鰍,,
螞蟥,,
烏龜,,
松樹,,
松果,,
柏樹,,
桑樹,,
桑葚,,
楊柳樹,,
梧桐樹,,
梧桐,,
樹梗,,
樹梢,,
樹葉子,,
樹丫子,,
竹頭,,
冬筍,,
春筍,,
筍殼,,
篾青,,
篾黃,,
桂花,,
菊花,,
梅花,,
月季花,,
薔薇花,,
鳳仙花,,
荷花,,
荷葉,,
白蘭花,,
茉莉花,,
玳玳花,,
千年雲,,
花瓣,,
花蕊頭,,
蘆柴,,
茅柴,,
青粘苔,,
服盆,,
雙季稻,,
礱糠,,
稻柴,,
稗草子,,
秕穀,,
糙米,,
白米,,
粳米,,
大米,,
秈米,,
糯米,,
米粉,,
小麥,,
大麥,,
元麥,,
麥柴,,
麩皮,,
麪粉,,
御麥,,
菜子,,
棉花,,
黃豆,,
毛豆,,
綠豆,,
赤豆,,
蠶豆,,
寒寒豆,,
長豇豆,,
扁豆,,
菠菜,,
白菜,,
青菜,,
大菜,,
小青菜,,
雞毛菜,,
捲心菜,,
包菜,,
芹菜,,
藥芹,,
水芹菜,,
韭菜,,
韭芽,,
韭黃,,
莧菜,,
紅莧菜,,
白莧菜,,
菜見,,
塌棵菜,,
蕹菜,,
薺菜,,
蓬蒿菜,,
香菜,,
番茄,,
老卜,,
太湖老卜,,
老卜幹,,
黃老卜,,
辣火,,
燈籠辣火,,
茄子,,
茭白,,
萵苣筍,,
山芋,,
山薯,,
洋山芋,,
洋芋艿,,
芋艿,,
胡蔥,,
洋蔥頭,,
大蒜,,
大蒜頭,,
蒜苗,,
芥菜,,
慈菇,,
香蕈,,
蘑菇,,
老薑,,
嫩姜,,
胡椒,,
馬蘭頭,,
枸杞頭,,
冬瓜,,
南瓜,,
黃瓜,,
絲瓜,,
西瓜,,
扁蒲,,
活蘆,,
桃子,,
杏子,,
杏仁,,
蘋果,,
嘉慶子,,
棗子,,
枇杷,,
楊梅,,
柿子,,
柿餅,,
石榴,,
橘子,,
金橘,,
文旦,,
沙田柚,,
桂圓,,
橄欖,,
栗子,,
葡萄,,
蒲桃,,
沙胡桃,,
香榧子,,
白果,,
西瓜子,,
荸薺,,
甘蔗,,
長生果,,
果肉,,
花生米,,
長生果衣,,
向日葵,,
香瓜子,,
蓮蓬,,
蓮心,,
雞頭米,,
水紅菱,,
老烏菱,,
沙瓜菱,,
開火倉,,
火倉銅鈿,,
點飢,,
撏毛,,
牽磨,,
過飯,,
喫飯,,
喫粥,,
喫點心,,
中飯,,
夜飯,,
早飯,,
燒飯,,
飯燒好着,,
濟熱,,
開飯,,
盛飯,,
搛菜,,
冷飯,,
扒冷飯,,
淘米,,
夾生,,
菜飯,,
蓋澆飯,,
米燒粥,,
飯泡粥,,
泡粥,,
乾粥爛飯,,
飯米糝,,
粥飲湯,,
飯除,,
糉子,,
糰子,,
湯糰,,
圓子,,
青糰子,,
餈毛糰,,
餈飯糰,,
餈飯,,
定榫糕,,
黃鬆糕,,
方糕,,
年糕,,
糖年糕,,
豬油年糕,,
寧波年糕,,
糖粥,,
酵粉,,
老酵,,
發酵粉,,
𢫭面,,
守粉,,
小粉,,
饅頭,,
油煠檜,,
油條,,
闊麪,,
素麪,,
陽春麪,,
光麪,,
寬湯,,
緊湯,,
生煎饅頭,,
餛飩,,
燒賣,,
大餅,,
羌餅,,
老虎腳爪,,
絞捩棒,,
梅花糕,,
海棠糕,,
麪衣,,
麪疙瘩,,
月餅,,
肉月餅,,
酒釀餅,,
雞蛋糕,,
葷小菜,,
冷氣肉,,
熱氣肉,,
斬肉,,
蹄髈,,
腳爪,,
里脊肉,,
坐臀,,
夾心,,
肋條,,
排骨,,
大排,,
小排,,
肚子,,
門槍,,
豬肝,,
腰子,,
鹹肉,,
風肉,,
熟肉,,
醬肉,,
拆燒,,
枵肉,,
鴨肫肝,,
爆魚,,
燻魚,,
